Muestra,Productos-Lote,Tiempo-Entrega,Defectuoso
279,52,38000,1
280,50,36000,1
281,59,88000,1
282,35,61000,0
283,37,70000,1
284,52,21000,1
285,48,141000,0
286,37,93000,1
287,37,62000,0
288,48,138000,1
289,41,79000,0
290,37,78000,1
291,39,134000,1
292,49,89000,1
293,55,39000,1
294,37,77000,0
295,35,57000,0
296,36,63000,0
297,42,73000,1
298,43,112000,1
299,45,79000,0
300,46,117000,1
301,58,38000,1
302,48,74000,1
303,37,137000,1
304,37,79000,1
305,40,60000,0
306,42,54000,0
307,51,134000,0
308,47,113000,1
309,36,125000,1
310,38,50000,0
311,42,70000,0
312,39,96000,1
313,38,50000,0
314,49,141000,1
315,39,79000,0
316,39,75000,1
317,54,104000,1
318,35,55000,0
319,45,32000,1
320,36,60000,0
321,52,138000,1
322,53,82000,1
323,41,52000,0
324,48,30000,1
325,48,131000,1
326,41,60000,0
327,41,72000,0
328,42,75000,0
329,36,118000,1
330,47,107000,1
331,38,51000,0
332,48,119000,1
333,42,65000,0
334,40,65000,0
335,57,60000,1
336,36,54000,0
337,58,144000,1
338,35,79000,0
339,38,55000,0
340,39,122000,1
341,53,104000,1
342,35,75000,0
343,38,65000,0
344,47,51000,1
345,47,105000,1
346,41,63000,0
347,53,72000,1
348,54,108000,1
349,39,77000,0
350,38,61000,0
351,38,113000,1
352,37,75000,0
353,42,90000,1
354,37,57000,0
355,36,99000,1
356,60,34000,1
357,54,70000,1
358,41,72000,0
359,40,71000,1
360,42,54000,0
361,43,129000,1
362,53,34000,1
363,47,50000,1
364,42,79000,0
365,42,104000,1
366,59,29000,1
367,58,47000,1
368,46,88000,1
369,38,71000,0
370,54,26000,1
371,60,46000,1
372,60,83000,1
373,39,73000,0
374,59,130000,1
375,37,80000,0
376,46,32000,1
377,46,74000,0
378,42,53000,0
379,41,87000,1
380,58,23000,1
381,42,64000,0
382,48,33000,1
383,44,139000,1
384,49,28000,1
385,57,33000,1
386,56,60000,1
387,49,39000,1
388,39,71000,0
389,47,34000,1
390,48,35000,1
391,48,33000,1
392,47,23000,1
393,45,45000,1
394,60,42000,1
395,39,59000,0
396,46,41000,1
397,51,23000,1
398,50,20000,1
399,36,33000,0
400,49,36000,1
